taxid,status
513064,Vulnerable
513065,Vulnerable
156433,Least Concern
70782,Near Threatened
126732,Near Threatened
70780,Least Concern
1869258,Near Threatened
421498,Vulnerable
2865878,Data Deficient
156434,Least Concern
513066,Near Threatened
2126023,Data Deficient
213635,Vulnerable
513067,Vulnerable
46687,Near Threatened
55974,Near Threatened
513068,Vulnerable
513069,Vulnerable
1216037,Data Deficient
564431,Vulnerable
513070,Vulnerable
6129,Least Concern
156435,Vulnerable
564432,Vulnerable
564433,Vulnerable
55975,Least Concern
154029,Near Threatened
2865879,Vulnerable
513072,Near Threatened
513073,Vulnerable
156436,Least Concern
45264,Near Threatened
209514,Near Threatened
421499,Vulnerable
513074,Near Threatened
70778,Near Threatened
2773274,Data Deficient
676058,Least Concern
6131,Critically Endangered
117926,Vulnerable
1917239,Vulnerable
141010,Vulnerable
1540323,Vulnerable
513075,Near Threatened
513076,Vulnerable
1045499,Data Deficient
140239,Least Concern
421500,Vulnerable
676058,Least Concern
564435,Data Deficient
154029,Data Deficient
1917240,Endangered
253554,Least Concern
154030,Least Concern
117784,Near Threatened
165727,Near Threatened
513077,Vulnerable
141011,Least Concern
564436,Vulnerable
191023,Vulnerable
117776,Data Deficient
513078,Least Concern
1511031,Least Concern
2865880,Data Deficient
564437,Vulnerable
70783,Near Threatened
2865882,Data Deficient
564438,Least Concern
55976,Data Deficient
2865881,Vulnerable
2126024,Least Concern
55976,Least Concern
117785,Vulnerable
117780,Vulnerable
564439,Vulnerable
1886489,Vulnerable
117778,Least Concern
589933,Least Concern
334221,Endangered
356814,Least Concern
356810,Least Concern
643335,Data Deficient
1539280,Data Deficient
356812,Least Concern
75336,Least Concern
29594,Least Concern
262948,Least Concern
366450,Least Concern
386810,Critically Endangered
380874,Critically Endangered
359946,Endangered
386811,Endangered
2578367,Vulnerable
2995194,Least Concern
3023859,Endangered
2599775,Critically Endangered
433445,Least Concern
8992,Least Concern
2231372,Endangered
2231377,Near Threatened
342375,Near Threatened
2231381,Endangered
1651254,Vulnerable
342376,Least Concern
2231375,Near Threatened
2231378,Near Threatened
446955,Least Concern
283141,Least Concern
